ID,Council_District,Amount,Household Size,Race,Ethnicity,Gender,DATE,Zip_Code,ObjectId,GlobalID
140,2,11907.72,3,African American,Non-Hispanic,Female,10/25/2021,40218,40,3c1e5dd3-fab8-4ba1-8c87-907b834c43a0
141,2,12140,3,African American,Non-Hispanic,Female,9/5/2021,40218,41,a5d15794-94e2-4a1a-b2dc-1c34ae9b0719
142,2,3507,3,African American,Non-Hispanic,Female,7/8/2021,40218,42,58323ff2-cf39-420f-9f7c-d4eac96d8092
143,2,5844,3,African American,Non-Hispanic,Female,7/8/2021,40218,43,f3d2f87a-74a3-47a8-9652-b46d0f7db2e0
144,2,5908,1,White,Non-Hispanic,Female,9/3/2021,40218,44,72e9b0cd-d58e-48ab-9d15-e81d3a94764e
145,2,7550,2,African American,Non-Hispanic,Female,8/5/2021,40218,45,5dacde0f-82a6-48bd-9a84-c85118544652
146,2,860,2,African American,Non-Hispanic,Female,8/19/2021,40218,46,744eeca9-e9e5-4f5b-a838-c8d08ea5606a
147,2,7128,1,White,Non-Hispanic,Female,9/23/2021,40218,47,8e7ccb97-f539-42f6-9285-d5154490d504
148,2,9322,1,White,Non-Hispanic,Female,10/22/2021,40218,48,6002b3dc-f58d-48ef-90ee-bc8e187dfe0f
149,2,10087,3,African American,Non-Hispanic,Female,9/23/2021,40213,49,6efd7c28-e980-49d7-a183-c6b7cf95919a
150,2,4926,1,Mixed Race,Non-Hispanic,Male,8/27/2021,40218,50,6bb93f60-c79a-4893-a741-289dc22a5901
301,4,5700,1,African American,Non-Hispanic,Male,11/15/2021,40203,51,c79b0528-9669-4489-a715-7a0d2b1a7549
302,4,6996,1,African American,Non-Hispanic,Female,9/5/2021,40202,52,8b5bca49-c1b3-4cb4-8e60-187c38f8890f
303,4,23793,4,White,Non-Hispanic,Female,10/22/2021,40211,53,1c5d6f5e-4945-4e65-a570-9d1ab4483080
304,4,2438.99,5,African American,Non-Hispanic,Female,11/1/2021,40203,54,c4ae57db-7f9c-425c-88cc-1a787ba47f5e
305,4,2290,1,White,Non-Hispanic,Female,11/1/2021,40202,55,b8c8d642-e507-41eb-9984-41943d21ec90
306,4,9800,1,African American,Non-Hispanic,Female,11/15/2021,40211,56,3c57464d-cece-4e7e-b263-cf2b8d99a4dd
307,4,1690,1,African American,Non-Hispanic,Male,10/29/2021,40202,57,0023794a-b951-494a-a513-e028e0919b85
308,4,2550,2,African American,Non-Hispanic,Male,7/22/2021,40211,58,6a25e95c-c3f9-4a87-89b5-6647af3b0972
309,4,1327,1,African American,Non-Hispanic,Female,11/1/2021,40202,59,9fa0b088-d77f-4bc8-9c7c-7a5bcc77d958
310,4,11400,6,White,Non-Hispanic,Female,10/1/2021,40210,60,5a386144-dea0-43b7-9273-891e2fcf98ff
311,4,6600,6,Mixed Race,Non-Hispanic,Female,8/28/2021,40203,61,b006088a-6b3a-4be3-a867-127a8b53ada3
312,4,1094,1,African American,Non-Hispanic,Male,10/28/2021,40202,62,4e0abf49-b97d-467b-802c-8dbd23cdd241
313,4,7728.5,1,African American,Non-Hispanic,Female,9/2/2021,40204,63,5b0a3572-9a4f-449d-b3b8-d2a7f26b6ebb
314,4,673.06,7,White,Non-Hispanic,Female,12/10/2021,40210,64,d903afbc-e366-4b2d-8f0a-60619a035180
315,4,1836,1,African American,Non-Hispanic,Female,11/1/2022,40202,65,c8bfc3b7-7b14-40c3-bee4-2f96865307ff
316,4,2854.35,4,African American,Non-Hispanic,Female,11/1/2022,40203,66,ff98307d-fdae-4a87-8a2d-4e4189c93365
317,4,14497,4,African American,Non-Hispanic,Female,8/27/2021,40203,67,5d20df6e-c2d0-4932-8b90-1208173ed426
318,4,2625,3,African American,Non-Hispanic,Male,7/8/2021,40206,68,4d142aa3-6683-44aa-914b-11c5b4273260
319,4,5025,3,African American,Non-Hispanic,Male,7/8/2021,40206,69,8d92633c-42b7-4e06-a579-cd80bf81594c
320,4,1905,2,African American,Non-Hispanic,Female,10/28/2021,40203,70,31abee24-1314-446d-9991-5a7715151d19
321,4,17729,2,African American,Non-Hispanic,Female,9/5/2021,40206,71,779f5d13-a72b-4a8f-8fef-8b8850ce938b
322,4,322,2,African American,Non-Hispanic,Male,11/5/2021,40202,72,f2dea6cc-bc36-4019-a002-2c11b63ad8b6
323,4,9070,3,White,Non-Hispanic,Female,7/29/2021,40202,73,6f06a566-d0ec-4549-93d9-1bf3af132a22
324,4,2146,1,African American,Non-Hispanic,Female,12/10/2021,40202,74,b5a71488-5b2c-4b9f-8bed-667512921020
325,4,14451.42,2,White,Non-Hispanic,Female,10/25/2021,40203,75,a3c8e4ea-994f-426a-84d6-cb8b52d8b063
326,4,1067.34,1,African American,Non-Hispanic,Female,10/28/2021,40202,76,a1814105-d21e-47bb-be67-eb5d01a6b0f3
327,4,392,1,African American,Non-Hispanic,Female,12/22/2021,40202,77,2d500c98-0440-40be-9bfb-cdbc5f77dd6b
328,4,1980,2,African American,Non-Hispanic,Female,12/3/2021,40203,78,25204445-a63a-4c87-9c00-b569fc10c01a
329,4,3600,2,African American,Non-Hispanic,Female,10/20/2021,40210,79,2dcf1687-ccd4-4d63-8915-6c31f06f1a35
330,4,602.6,1,African American,Non-Hispanic,Male,12/22/2021,40203,80,99c69d81-a914-4fe8-bd9b-7e077614c914
331,4,8123,1,African American,Non-Hispanic,Male,11/12/2021,40206,81,d6ee7204-ed28-46fd-a97f-28390ede0285
332,4,9375,3,African American,Non-Hispanic,Male,9/22/2021,40206,82,14e1e4a2-0ff2-4c84-9c08-0ca585659693
333,4,10686,1,African American,Non-Hispanic,Female,9/7/2021,40203,83,5466cb48-21ca-4f49-b701-73a9590c4029
334,4,11731.21,1,Others,Non-Hispanic,UNKNOWN,10/22/2021,40204,84,ad55747c-73fe-4f17-b999-bed78453335d
335,4,11739.57,3,Mixed Race,Non-Hispanic,Male,11/12/2021,40206,85,ceb4b546-6b3c-43e4-beec-65b35b5ecd26
336,4,9340,3,African American,Non-Hispanic,Female,8/2/2021,40211,86,eed9ed2b-399a-4c33-b20b-2b60fba9581e
337,4,1999,1,African American,Non-Hispanic,Female,10/29/2021,40202,87,5d98d6e6-9f55-4c51-9be0-2be979695285
338,4,11120,2,White,Non-Hispanic,Female,8/26/2021,40206,88,608dfbcc-336f-4858-bb04-70dc3359ef52
339,4,655,1,African American,Non-Hispanic,Female,12/22/2021,40203,89,2f81ae95-8c42-4a07-9bc1-4f291a196fb7
340,4,12849,2,African American,Non-Hispanic,Male,10/27/2021,40206,90,929eb871-798f-432b-abc9-a077e7c1499b
341,4,3000,1,White,Non-Hispanic,Female,7/6/2021,40203,91,a5e404d8-17eb-4e64-a9d3-c54018b60c59
342,4,3964,1,White,Non-Hispanic,Male,7/16/2021,40203,92,1a7f5123-304e-49e1-9767-711065d219cd
343,4,137.13,3,African American,Non-Hispanic,Female,12/22/2021,40211,93,6be1d5e1-18f2-416c-80f6-0a04ad16e2db
344,4,2198.22,1,African American,Non-Hispanic,Male,10/11/2021,40202,94,0763a7df-06e4-4033-a0d1-78699d9beb90
345,4,6995,3,Mixed Race,Hispanic,Female,10/22/2021,40206,95,9b18061f-ad81-4e11-88e7-a4ca7ce9aac4
346,4,382,1,African American,Non-Hispanic,Male,11/5/2021,40202,96,532ba361-094d-4b32-87f1-8825529e91b4
347,4,12613,3,African American,Hispanic,Female,9/5/2021,40206,97,704aafff-a6f3-41d4-acb6-b22063d61b12
348,4,334,2,African American,Non-Hispanic,Male,11/18/2021,40202,98,19a16849-65c1-45fc-9807-a33f86efaf38
349,4,6290,4,Mixed Race,Non-Hispanic,Male,8/9/2021,40206,99,66c7ea13-6d85-400b-8d67-aaeae6eee165
350,4,6440,3,African American,Non-Hispanic,Male,9/2/2021,40206,100,bf2eacbc-c8fc-408d-87d6-c53246a98aab
201,3,14944,1,African American,Non-Hispanic,Female,11/5/2021,40215,101,7788c0e0-3847-4eca-9d56-d4bc328f3a4e
202,3,11752,5,African American,Non-Hispanic,Female,9/8/2021,40215,102,ac387c82-a8b4-452f-aa6f-c31f9eae725a
203,3,3342,1,African American,Non-Hispanic,Male,11/15/2021,40215,103,f1d95820-0d42-44a9-aae5-2fa5275c3052
204,3,10454.5,1,African American,Non-Hispanic,Female,11/17/2021,40215,104,2b21a82b-f19a-4de1-b169-8be15dea04b1
205,3,3930,1,African American,Non-Hispanic,Female,11/9/2021,40215,105,35780774-a876-4372-aaa6-035dea529a54
206,3,1905,3,African American,Non-Hispanic,Female,7/22/2021,40216,106,003d8d5c-068f-4f69-9d02-28d98477eddf
207,3,7600,4,African American,Non-Hispanic,Female,8/3/2021,40216,107,e7e5577b-1e36-43a2-9321-c9d1de5de679
208,3,4140,4,African American,Non-Hispanic,Female,8/19/2021,40216,108,02c99f86-1d97-4bfd-9f8d-3109a4bf1093
209,3,4085,1,African American,Non-Hispanic,Female,9/16/2021,40215,109,56431183-eb7a-4461-bbd1-7f22314cb8b3
210,3,8760,1,African American,Non-Hispanic,Female,10/20/2021,40216,110,4d81d19a-ff2c-443f-99e1-453d0725eaeb
211,3,4400,3,Mixed Race,Non-Hispanic,Female,7/30/2021,40216,111,26825e08-9e78-492e-99c2-b3badfd062ae
212,3,4416,5,African American,Non-Hispanic,Female,7/30/2021,40215,112,7141e14b-f9e9-43a4-ad0d-769e865a3c34
213,3,1650,3,African American,Non-Hispanic,Female,7/9/2021,40215,113,ae80ef67-bcd0-434e-89f8-6ae7c9f1f5c0
214,3,3850,3,African American,Non-Hispanic,Female,7/9/2021,40215,114,8ec04628-661a-42a1-8573-eeff029a77d1
215,3,8000,2,African American,Non-Hispanic,Female,8/12/2021,40208,115,811a33fe-4f36-4040-a6dc-2f90aaa95c9b
216,3,5289,1,African American,Non-Hispanic,Female,8/13/2021,40215,116,34e57a3f-93cb-4ef9-adbd-72fa73836a9f
217,3,5457,1,African American,Non-Hispanic,Male,10/24/2021,40216,117,4f51ca81-cf0b-4c67-b25c-a5ebafd3e470
218,3,9597.01,3,White,Non-Hispanic,Male,11/17/2021,40216,118,82613867-356e-40ee-8c72-acf7bfe14dc6
219,3,14260,1,African American,Non-Hispanic,Male,8/24/2021,40215,119,2cc62125-1a0c-4f92-8c48-88966060c28d
220,3,8400,1,Mixed Race,Non-Hispanic,Male,11/12/2021,40215,120,cdc1d612-3f08-4c7e-b943-f74c86d8a7f9
221,3,8463,4,White,Non-Hispanic,Female,9/4/2021,40216,121,3feeeaaa-e934-43b0-b14f-ada40581da18
222,3,2866,3,African American,Non-Hispanic,Male,10/25/2021,40215,122,c2244b9a-63bc-40c1-9f75-a2e3e13e4c80
223,3,1125,1,African American,Non-Hispanic,Male,7/8/2021,40216,123,b4a7dc88-ae45-4471-b714-1e8d16ff412a
224,3,1725,1,African American,Non-Hispanic,Male,7/8/2021,40216,124,77f08e0e-2ac1-4efb-b079-02a93d1d5794
225,3,9150,3,African American,Non-Hispanic,Male,9/7/2021,40208,125,74b77749-ab5e-40b4-b132-284acf00d0f3
226,3,9750,2,African American,Non-Hispanic,Female,11/12/2021,40216,126,80480a56-5878-4c23-8558-1f34e6164a19
227,3,13256,2,African American,Non-Hispanic,Female,9/5/2021,40216,127,94855357-1077-4e1a-a8d5-9155a0a36f92
228,3,8230,1,White,Non-Hispanic,Female,11/15/2021,40215,128,361d493d-442b-4a4f-bbe5-6b0415a30142
229,3,8870,2,African American,Non-Hispanic,Male,8/18/2021,40215,129,5bdb5e3c-7bf1-470d-8446-cb2befb01088
230,3,3300,1,White,Non-Hispanic,Female,10/25/2021,40216,130,c816fcc1-ed99-4666-8d82-3a93922d16b7
231,3,4470,1,African American,Non-Hispanic,Male,11/12/2021,40215,131,12bc890b-644c-4f8c-93f5-d3d13d80b04a
232,3,5715,1,African American,Non-Hispanic,Female,11/17/2021,40216,132,35192f95-6daa-4d88-be77-a22c423263f5
233,3,2100,3,African American,Non-Hispanic,Female,7/21/2021,40215,133,ba754546-8d09-4e05-b8e9-14b1cb085408
234,3,11200,1,White,Non-Hispanic,Male,9/3/2021,40216,134,74f9e8d6-da23-4584-880a-420d738512a0
235,3,9460,3,White,Non-Hispanic,Female,10/7/2021,40215,135,f51d1785-3997-488f-aa66-352a601a87a4
236,3,7570,3,White,Non-Hispanic,Female,10/8/2021,40215,136,c4bfff3a-7b83-440b-a4ef-f18c77ffb208
237,3,8660,3,African American,Non-Hispanic,Female,9/3/2021,40216,137,3756c35b-03ba-4447-a86f-2194eb538d98
238,3,8686,1,White,Non-Hispanic,Female,8/24/2021,40215,138,f423da30-21c8-4cd5-b792-c420237f765d
239,3,6600,2,African American,Non-Hispanic,Male,11/17/2021,40215,139,31bed3bf-d217-485e-a3c3-1c44ef458004
240,3,10034.3,3,African American,Non-Hispanic,Male,9/29/2021,40216,140,9d898735-41df-4d2d-af28-23b53126616a
241,3,6600,5,African American,Non-Hispanic,Male,9/3/2021,40216,141,c34930d5-f269-4616-81c4-4664e3ed8875
242,3,6300,4,African American,Non-Hispanic,Female,11/8/2021,40210,142,f16d5ed3-4d34-4cca-86f9-3438b9043495
243,3,5620,1,African American,Non-Hispanic,Male,11/10/2021,40216,143,571a90fe-1a55-44cc-9916-06253fb754fa
244,3,6800,2,African American,Non-Hispanic,Female,10/22/2021,40216,144,3917bbbe-ea04-4427-9850-9f2a8523cd48
245,3,8973,3,African American,Non-Hispanic,Male,11/17/2021,40216,145,e7365c02-695e-46f4-94a9-6e5be3b91180
246,3,6750,1,White,Non-Hispanic,Female,8/26/2021,40216,146,9b654c47-a8c6-4d6b-979f-cb6a8fb6cc87
247,3,6600,1,African American,Non-Hispanic,Female,8/16/2021,40210,147,540cb0cf-1eda-4fa5-80af-d1c9b0302544
248,3,8140,1,African American,Non-Hispanic,Female,9/3/2021,40215,148,4fa68fee-4c20-439a-9359-eee2d24542a1
249,3,8580,2,African American,Non-Hispanic,Female,11/17/2021,40216,149,96904064-a819-4443-a839-cd953a9ae86a
250,3,5864,1,African American,Non-Hispanic,Male,10/22/2021,40216,150,1f03ce16-80cb-493d-a2c3-9de1edc98c3d
51,1,5545,4,Mixed Race,Non-Hispanic,Female,10/25/2021,40216,151,22f7eda1-3c0a-403c-964b-5894ccdc043f
52,1,8045,3,African American,Non-Hispanic,Female,8/11/2021,40211,152,77b2e645-a155-4a9e-b07a-b18c2d3b435f
53,1,14700,3,Mixed Race,Non-Hispanic,Female,9/16/2021,40211,153,56258035-7267-4fd2-b0a5-b82bed0fe795
54,1,11200,4,African American,Non-Hispanic,Female,10/20/2021,40216,154,6f86dfc2-b009-45f3-a094-b9882f8a9484
55,1,7425,1,Mixed Race,Non-Hispanic,Male,8/16/2021,40211,155,106eaeae-fcd1-49f7-b675-7321212f4e2b
56,1,5765,2,African American,Non-Hispanic,Female,8/10/2021,40216,156,c061257e-3924-4fd3-93d4-6d1b7d3cdd47
57,1,12915,3,African American,Non-Hispanic,Male,9/5/2021,40216,157,36f55362-ebd8-4e80-88a2-794e600e2ba9
58,1,7560,1,African American,Non-Hispanic,Female,10/26/2021,40216,158,f2bbca4b-d3f7-454d-80b7-3b108d0a172f
59,1,5200,2,African American,Non-Hispanic,Female,10/22/2021,40211,159,0e818cba-0b50-4808-b77f-43b6552b2b3b
60,2,6451,5,African American,Non-Hispanic,Female,10/19/2021,40213,160,8c2a468e-9d78-454c-8244-b75dd67e13ad
61,2,4808.31,3,African American,Non-Hispanic,Female,11/19/2021,40225,161,b691e9e3-c135-4757-a3e3-97ab1a65b1b0
62,2,1819.57,1,African American,Non-Hispanic,Male,11/19/2021,40225,162,976c571f-6a75-4f0e-922a-412ce1a2b418
63,2,7595,1,African American,Non-Hispanic,Female,8/2/2021,40219,163,37e8bc65-12dd-4f4c-82dd-b429ba4f6fb0
64,2,5810,1,African American,Non-Hispanic,Female,9/5/2021,40218,164,96b93365-d3e4-4d99-98b1-de4253869688
65,2,6339,1,African American,Non-Hispanic,Female,9/30/2021,40219,165,3548fb0a-3814-4746-87eb-9a1f8fbe5d0c
66,2,5810,2,African American,Non-Hispanic,Female,10/22/2021,40218,166,51f317ac-90e8-41a6-877e-f6e92e1f57bc
67,2,10458,3,African American,Non-Hispanic,female,8/6/2021,40218,167,eb3baca1-6247-4b18-b155-a70235299acd
68,2,15340,1,Mixed Race,Non-Hispanic,Male,11/17/2021,40218,168,fdf85d86-f086-4bd6-99e2-808f918d5b37
69,2,4488,2,African American,Non-Hispanic,Male,10/19/2021,40219,169,197df63c-fff3-4eb5-9cd5-d47ab678ffe1
70,2,6491,3,White,Non-Hispanic,Female,8/3/2021,40218,170,137b6f95-5e58-4ec9-a96d-ae6fb53b8aaf
71,2,11600,2,African American,Non-Hispanic,Female,10/28/2021,40219,171,4f98cfe0-e325-4718-85a4-250d412bc654
72,2,11577,2,African American,Non-Hispanic,Female,10/5/2021,40218,172,c18dcad6-2445-4760-8c2f-dbc787c200e8
73,2,8010,1,African American,Non-Hispanic,Male,11/10/2021,40218,173,5a8d6b0c-aa60-4ab8-9977-96f7638383a2
74,2,2340,2,African American,Non-Hispanic,Female,7/1/2021,40218,174,78a97189-4570-4aa0-bdbb-3dd157bc53a9
75,2,4680,2,African American,Non-Hispanic,Female,7/1/2021,40218,175,d06e0c9c-e4d9-4edf-a70f-0f7c31c18291
76,2,8385.36,1,Mixed Race,Non-Hispanic,Female,9/3/2021,40218,176,14796035-5c3b-459d-8ab9-e3bc64ffb285
77,2,6311,3,White,Non-Hispanic,Male,10/14/2021,40219,177,756c615a-1153-4456-b17d-038cd520ca3c
78,2,2061,2,White,Non-Hispanic,Female,7/6/2021,40213,178,b14605a7-5e01-44f3-85f9-6a9ac76bef87
79,2,4122,2,White,Non-Hispanic,Female,7/6/2021,40213,179,62220b74-24f9-49c8-a4f0-b55b5df3c2dc
80,2,11706,2,African American,Non-Hispanic,Female,10/4/2021,40219,180,cf1def24-b6b2-49b8-8ada-dc67106398cf
81,2,10755,6,African American,Non-Hispanic,Female,7/29/2021,40218,181,36eee2f1-8e88-406c-b79f-eb753de363e8
82,2,12869,4,African American,Non-Hispanic,Female,10/5/2021,40218,182,443724e9-7950-4a49-835c-a64961e9b79c
83,2,10009,2,African American,Non-Hispanic,Male,9/20/2021,40218,183,2235efad-2af0-4473-afc4-d52970a289c6
84,2,8270,1,African American,Non-Hispanic,Male,11/8/2021,40218,184,1605633c-1dd9-4fa6-8189-b403257a4204
85,2,5199,1,White,Non-Hispanic,Female,8/27/2021,40219,185,68f035a9-6d9d-4c7b-a816-d03dd1afa27f
86,2,15315,4,White,Non-Hispanic,Male,9/18/2021,40218,186,d75fd3da-a23e-437e-9f73-5037a34dc286
87,2,2025,2,African American,Non-Hispanic,Male,7/7/2021,40218,187,423a2e2a-fb67-4322-b730-5f24bf6a9854
88,2,5170,2,African American,Non-Hispanic,Male,7/7/2021,40218,188,370ed96c-a566-4e88-9fb7-9a3d9af48173
89,2,2901,2,Mixed Race,Non-Hispanic,Male,7/15/2021,40218,189,f7203846-4a69-4b73-ade1-6e48eacf3f6c
90,2,7074,2,Mixed Race,Non-Hispanic,Male,7/15/2021,40218,190,b788bba6-2b4b-4b24-9b7c-9013aefcfe89
91,2,10452,3,African American,Non-Hispanic,Female,10/8/2021,40219,191,3c09daa3-42bd-416f-8baf-c23bf1446631
92,2,8976,2,African American,Non-Hispanic,Female,9/22/2021,40218,192,eba566d8-aac5-402e-aa7d-918d7b58bf09
93,2,2901,2,African American,Non-Hispanic,Female,7/9/2021,40218,193,e450c458-bc0f-43de-ae6d-e3d9a44a5840
94,2,4620,2,African American,Non-Hispanic,Female,7/9/2021,40218,194,d1677aa2-e2a9-44f2-b79c-332990ea0e35
95,2,15373.32,1,African American,Non-Hispanic,Male,10/21/2021,40218,195,f520fe71-5e20-449a-aa56-935dc2e07f81
96,2,2625,1,White,Non-Hispanic,Male,7/13/2021,40213,196,733a499b-6dee-461d-b11e-a71a6f379c5a
97,2,1313,3,African American,Non-Hispanic,Male,11/19/2021,40218,197,2016ef0e-abf1-4de0-ad52-f329c03e516e
98,2,17977,2,Mixed Race,Non-Hispanic,Male,8/10/2021,40219,198,e8e1eaa5-29a8-4c0e-a6b5-3e8333f57e48
99,2,12115,2,African American,Non-Hispanic,Male,9/7/2021,40218,199,3405ed45-bf7e-4321-aefd-9809fccca541
100,2,4759,1,African American,Non-Hispanic,Female,9/24/2021,40219,200,2068c024-630e-4472-b3b7-bb32f15a54ad
151,2,7538,5,African American,Non-Hispanic,Female,8/28/2021,40219,201,b6bac06e-76c9-418a-ac17-fd6f352af4db
1,1,2100,4,African American,Non-Hispanic,Female,7/6/2021,40211,202,b44ca323-cf89-4b89-95b2-4fbff0135976
152,2,1779,2,White,Non-Hispanic,Female,7/8/2021,40219,203,9a42dc4d-e412-4918-867c-3c73e49b9d00
153,2,5490,2,White,Non-Hispanic,Female,7/8/2021,40219,204,876cc1da-372a-42d6-b18a-4ad93d08870e
154,2,6948,3,African American,Non-Hispanic,Female,8/27/2021,40219,205,da3f4689-11e0-40fc-a9b1-188be0a616ab
155,2,1588,2,African American,Non-Hispanic,Female,11/19/2021,40225,206,e850f451-6304-4bde-b400-628e81f2ec3f
156,2,3177,2,Mixed Race,Non-Hispanic,Female,7/9/2021,40218,207,d8641f1c-4a18-48e9-9a21-68799018627b
157,2,7225,2,Mixed Race,Non-Hispanic,Female,7/9/2021,40218,208,b1aa1464-5c34-4d82-a484-771e43fc3142
158,2,2901,1,White,Non-Hispanic,Male,7/14/2021,40218,209,f0865105-9b8d-47a9-8402-bad874b0d31d
159,2,11764,3,African American,Non-Hispanic,Male,9/16/2021,40219,210,2c02e36e-3dde-4153-a5c2-0e258a5583b0
160,2,7830,1,African American,Non-Hispanic,Female,9/29/2021,40219,211,78b9322b-36aa-4ea9-bf7f-7c4bcda9983d
161,2,6888,3,White,Non-Hispanic,Female,9/16/2021,40219,212,e04b7f6b-cbc4-4d45-87a9-1f886b35b881
162,2,5750,2,African American,Non-Hispanic,Male,10/26/2021,40219,213,6e7b5dc4-87c3-4a18-aff6-439b2385c348
163,2,10828,1,African American,Non-Hispanic,Female,9/7/2021,40218,214,6203653c-959d-429c-bc5c-2d412965675b
164,2,8454.54,1,African American,Non-Hispanic,Female,8/13/2021,40218,215,198fffdc-d726-402e-acae-dd55a316ace8
165,2,460,3,African American,Non-Hispanic,Female,12/22/2021,40228,216,ca1c038d-9574-4884-9b4d-75dc058a2a2f
166,2,5867,1,African American,Non-Hispanic,Male,9/17/2021,40213,217,5acc477d-241e-4965-8e14-baf41883ad68
167,2,7950,2,African American,Non-Hispanic,Female,8/6/2021,40218,218,7efd6208-9e30-4b82-984e-d1a23a684f0a
168,2,3674,4,African American,Non-Hispanic,Female,7/21/2021,40219,219,cf3dea75-6641-498a-aa96-aa949a03e928
